country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
31,France,10,10,12/06/2022,202206,31720,National Front,NA,70,NA,372,5,2024,0.894,0.932,18.679232989054,0,NA,89,577,1,200,2025-1,2527,0,0,0,0,6.688,0,0,0.198,0,2.176,1.86,1.425,2.612,1.068,3.166,0.356,0.514,0.712,0,0.317,1.702,2.651,3.047,0.198,0,2.968,0,1.266,0.277,0.989,2.928,0,0.119,0.198,0,1.543,3.087,2.295,2.612,8.666,0.871,4.036,0.158,12.03,0.831,3.087,0.514,14.484,0.237,0,2.651,1.543,0,3.68,0.079,0,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.514,0.91,1.464,0,0,1.148,0,0.317,0,0,0,0,0.079,1.464,5.857,6.173,0.831,0,14.484,0,0.237,0,0,0,0,1.741,0.91,0,3.68,0,21.369,3.245,1.899,11.278,0,2025a,CXDTED
32,Italy,10,10,04/03/2018,201803,32630,Brothers of Italy,FDI,70,NA,345,5,2019,0.78,0.682,4.201,0,NA,31,630,1,140,2025-1,182,2.198,0,0,0,3.297,0,0,0.549,0,0.549,2.198,3.297,0,0,1.099,1.099,0,2.747,0.549,1.099,0,5.495,4.945,0,0,4.945,0,0,0,0,2.198,0,1.099,0,0,0.549,6.593,7.143,1.648,8.791,0.549,3.846,0,4.945,0,1.648,0,11.538,1.648,0,3.846,1.648,0,0,1.648,0.549,6.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.297,0,0,0,0,0,1.099,0,0,0,0,0,0,0.549,3.297,1.648,0,0,11.538,0,1.648,0,0,0,0,1.648,2.198,0,0,0,7.692,4.945,0,10.44,0,2025a,O5W4K9
33,Spain,10,10,28/04/2019,201904,33710,Voice,VOX,70,NA,297,5,2020,0.758,0.727,10.342,0,NA,24,350,1,150,2025-1,253,0.395,0,0,0,2.767,0,0,1.186,0.791,1.976,0,5.138,3.953,0.791,0,0,4.743,4.348,1.581,0.395,2.767,4.743,0,0,0,0,0,1.976,1.186,0.395,0.791,0,0,0,0,0.791,0,1.976,3.557,7.51,1.581,2.767,0,14.625,0,7.905,0,9.486,1.186,0,4.743,1.186,0,1.976,0,0,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.767,2.372,1.976,0.395,1.976,0,0.395,0,0,0,0,0,0,0.791,10.277,4.348,0,0,9.486,0,1.186,0,0,0,0,0.395,4.348,0,1.976,0,34.783,0,2.767,11.067,0,2025a,7IZ715
33,Spain,10,10,10/11/2019,201911,33710,Voice,VOX,70,NA,297,5,2020,0.758,0.727,15.211,0,NA,52,350,1,151,2025-1,203,0.493,0,0,0,2.463,0,0,1.478,0,1.97,0.493,3.941,3.448,0.493,0,0,4.926,4.926,1.97,0,2.956,5.419,0,0,0,0,0,0.493,1.97,0.493,0.493,0,0,0,0,0.985,0,1.478,3.448,8.374,1.478,2.463,0,15.764,0,5.911,0,11.33,0.493,0,4.926,1.478,0,2.463,0,0,0.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.985,2.956,1.97,0.493,1.478,0,0,0,0,0,0,0,0,0.985,10.345,5.419,0,0,11.33,0,0.493,0,0,0,0,0.493,4.433,0,2.463,0,33.005,0,2.956,11.823,0,2025a,CQ6P4M
33,Spain,10,10,23/07/2023,202307,33710,Voice,VOX,70,NA,297,5,2024,0.998,0.977,12.4839642111658,0,NA,33,350,1,200,2025-1,1053,0.285,0,0.095,0,2.564,0,0,0.665,0.19,3.134,1.519,6.078,3.039,0.475,0,0.095,4.084,4.368,1.899,1.33,4.084,2.754,6.553,0,0.285,2.469,0,0,0.38,1.709,3.324,0,0,0.475,0,0.76,1.804,0.19,2.184,9.592,0.095,2.089,0,7.692,0.095,5.983,0,6.173,0.19,0,3.039,1.994,0.855,5.223,0.095,0,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4.938,1.14,2.184,0,0,0.855,0.665,0.57,0.095,0,0,0,0,0.76,5.033,2.659,0,0.095,6.173,0.285,0.19,0,0,0,0,0.19,2.754,0.095,5.223,0,11.491,6.553,4.558,11.776,0.095,2025a,2KJJXU
41,Germany,10,10,26/09/2021,202109,41953,Alternative for Germany,AfD,70,NA,354,5,2021,0.945,0.94,10.3,0,NA,83,736,1,160,2025-1,1574,0.191,0,0,0.127,2.478,0.445,0.127,2.414,0.635,1.525,7.179,7.306,3.558,0,0,1.779,0.127,2.033,3.875,0.381,7.497,1.144,2.16,0,0,0.635,0.127,0.508,0,1.334,4.956,0.381,0.381,0.889,0,0.318,2.478,0.064,2.922,4.765,0.445,1.842,0,10.038,0,8.831,0.191,4.956,0.191,0.127,3.367,1.398,0.127,2.541,0.445,0.445,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,0,6.544,0.762,2.033,0.064,0,1.525,0.318,0.064,0,0,0,0,0,0.318,5.083,4.956,0,0,4.956,0.064,0.191,0,0.064,0.064,0,0.889,2.478,0,2.541,0.064,26.048,2.541,8.386,7.687,0.572,2025a,UG6GYH
41,Germany,10,10,23/02/2025,202502,41953,Alternative for Germany,AfD,70,NA,354,5,2025,0.945,0.94,20.8033867482927,0,NA,152,630,1,200,2025-1,1857,0.592,0,0,0.215,1.077,0.269,0.646,1.185,0.162,1.777,5.385,8.885,4.577,0.539,0.215,0.431,0.108,2.046,0.915,0.592,6.139,1.831,1.292,0,0,0.646,0.7,0,0,1.616,7.593,0.054,0.215,2.369,0,0.539,3.5,0.431,1.723,5.6,2.908,1.992,0.377,9.801,0.431,7.001,0.215,5.062,0.269,0,3.016,1.454,0,3.123,0.269,0.162,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215,0,8.185,0.7,3.77,0.108,0,0.808,0.592,0,0,0,0,0,0,0.539,3.5,6.3,0.108,0.323,5.062,0,0.269,0,0,0,0,1.346,1.669,0,3.123,0,29.025,1.346,8.508,7.324,0.915,2025a,6YV1GQ
42,Austria,10,10,29/09/2019,201909,42420,Austrian Freedom Party,FPÖ,70,NA,334,5,2020,0.972,0.932,16.174,0,NA,31,183,1,151,2025-1,222,2.252,0,0,0,0.45,0,0,0.45,0,0,6.306,0,8.559,0,0,0,0,7.207,0,0.45,0,1.351,4.955,0,0.45,0,0,0,0,0.45,6.306,0.45,0.901,0.45,0,2.703,10.811,0,2.252,5.405,2.252,0.45,0,12.613,0,0.45,0,9.91,1.351,0,2.252,5.405,2.252,0,0,0,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2.252,1.351,0,6.306,0,0.45,0,0,0,0,0,2.703,0,12.613,0,0,9.91,0,1.351,0,0,0,0,1.802,0.45,0,0,0,2.703,5.405,0.45,7.658,0,2025a,YJXJ4K
86,Hungary,10,10,08/04/2018,201804,86421,Alliance of Federation of Young Democrats - Christian Democratic People's Party,FiDeSz-KDNP,70,NA,285,5,2020,0.716,0.719,49.274,0,NA,133,199,9,151,2025-1,446,3.139,0,0,13.004,0.897,0,0.224,0.448,0,0.897,4.484,2.242,0.673,0,0,0.224,0,0,0,16.592,0,0,0.448,0,0,0,0,0,0,0.673,0,3.812,0,0,0,0,0,0,0.448,1.121,0,0,0,37.668,0,8.52,0,2.242,0.897,0,0.673,0.673,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26,8.744,0.448,1.794,0.673,0,0,0,15.919,0.224,0.448,0,0,0,0,0,12.332,25.336,0,0,2.242,0,0.897,0,0,0,0,0.673,0,0,0,0,48.655,4.26,0,1.57,0.224,2025a,UFXZ43
86,Hungary,10,10,03/04/2022,202204,86421,Alliance of Federation of Young Democrats - Christian Democratic People's Party,FiDeSz-KDNP,70,NA,285,5,2025,0.96,0.939,54.13,1,NA,135,199,9,200,2025-1,234,5.556,0,0,5.556,2.137,11.538,5.983,0.855,0,0.427,0.427,0.855,0,0.427,0,0,0,0,0,25.214,0,0,0.427,0,0,0,0,0.427,0,0,0,0.427,0,0.427,0,0,0,0.855,0,0.427,0,0.427,0,23.504,0,3.419,0,0,9.402,0,0,0.855,0,0,0,0,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.701,0.855,0,0.855,0,0,0,0,22.65,2.564,0,0,0,0,0,0,22.222,1.282,0,0,0,0,9.402,0,0,0,0,0,0,0,0,0,38.889,0.855,0.427,0.427,17.521,2025a,DE64NP
92,Poland,10,10,13/10/2019,201910,92436,Law and Justice,PiS,70,NA,250,5,2020,0.821,0.673,43.593,0,NA,235,460,1,160,2025-1,3283,0,0.487,0.152,0.061,2.071,0,0.03,1.614,1.188,0.883,2.345,1.279,1.706,0.548,0.213,0.731,0,2.65,2.224,5.696,0.152,4.234,1.584,1.462,0,0.244,0,0.061,0,1.401,13.463,1.279,0.701,0.213,0,1.401,3.96,5.452,3.594,8.316,0,3.533,0,13.006,0,2.955,0,1.31,2.772,0,0,2.528,0,2.102,0.213,0.03,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061,0,0.396,0.883,1.371,0,0.335,0,2.985,0.091,0.426,0,2.193,0,0,1.401,12.793,0.213,0,0,1.31,0,2.772,0,0,0,0,0,0,0,2.102,0,11.179,4.325,0.366,11.91,0.183,2025a,JKG3X1
